"","outletID","estID","east_DD","south_DD","est_name","full_ecosystem_type_name","est_ecosystem_type_code","biogeographical_zone","efz_ha","condition24","condition18","condition11","fishing_effort24","fishing_effort18","fishing_effort11","hund_km_zone","hund_km_zone_cond","fish","fish2018","efz_area","sum_area24pa","sum_area18pa","mod11","mod18","mod24","pes11","pes18","pes24"
"49",85,49,22.5811269722222,-33.9957577777778,"Touw/Wilderness","2 Warm Temperate - Estuarine Lake","W-EL","bWTemp",1180.4311751938,71.3,73.075,75.8,"M","L","L",17,76.5471297912116,50,63.75,11804311.7105718,11557787.1401953,11557787.1401953,"NearNatural","Moderate","Moderate","B","C","C"
"50",86,50,22.7962559722222,-34.031516,"Swartvlei","2 Warm Temperate - Estuarine Lake","W-EL","bWTemp",2176.9535192924,76.6,77.85,78,"M","L","L",17,76.5471297912116,65,75,21682393.4635039,20398629.4349329,20398629.4349329,"NearNatural","NearNatural","NearNatural","B","B","B"
"51",87,51,22.9491349722222,-34.0771609722222,"Goukamma","2 Warm Temperate - Large Temporarily Closed","W-LTC","bWTemp",300.034003051,86.225,87.225,88,"M","M","M",17,76.5471297912116,90,90,2992082.26703028,1508048.27194501,1508048.27194501,"NearNatural","NearNatural","NearNatural","B","B","B"
"52",88,52,23.061453,-34.082706,"Knysna","2 Warm Temperate - Estuarine Bay","W-EB","bWTemp",3010.5648309744,78.025,78,78,"H","H","H",17,76.5471297912116,60,60,30105647.1283708,29844225.6666891,29844225.6666891,"NearNatural","NearNatural","NearNatural","B","B","B"
"53",89,53,23.1291539722222,-34.080302,"Noetsie","2 Warm Temperate - Small Temporarily Closed","W-STC","bWTemp",50.6208199973,84.725,85.725,82.75,"L","L","L",18,86.2646028214276,95,95,506208.184955709,123627.548417211,123627.548417211,"NearNatural","NearNatural","NearNatural","B","B","B"
"54",93,54,23.3787619722222,-34.060465,"Piesang","2 Warm Temperate - Large Temporarily Closed","W-LTC","bWTemp",87.3876131153,51.6542813122982,51.4292813122982,61.525,"L","L","L",18,86.2646028214276,65,65,873463.34383077,1179.62664482929,1179.62664482929,"Moderate","Heavily","Heavily","C","D","D"
"55",94,55,23.378187,-34.0498499722222,"Keurbooms","2 Warm Temperate - Predominantly Open","W-PO","bWTemp",1631.253064757,87.4,87.95,91,"M","L","L",18,86.2646028214276,70,75,16238354.2512423,2126345.82123501,2126345.82123501,"Natural","NearNatural","NearNatural","A","B","B"
"56",95,56,23.470182,-34.0019649972222,"Matjies","2 Warm Temperate - Small Temporarily Closed","W-STC","bWTemp",12.07262978647,87.25,88.25,89,"L","L","L",18,86.2646028214276,95,95,120726.316623651,11901.1665505625,11901.1665505625,"NearNatural","NearNatural","NearNatural","B","B","B"
"57",97,57,23.536543,-33.9895019444444,"Sout (Oos)","2 Warm Temperate - Predominantly Open","W-PO","bWTemp",24.1249672848,93.75,95.25,95,"L","L","L",18,86.2646028214276,90,90,241249.712376944,241249.712376947,241249.712376947,"Natural","Natural","Natural","A","A","A"
"58",98,58,23.5691799972222,-33.9817808333333,"Groot (Wes)","2 Warm Temperate - Small Temporarily Closed","W-STC","bWTemp",104.0599923995,85.4193556720053,86.4193556720053,76.125,"L","L","L",18,86.2646028214276,80,80,999891.016147197,943860.894770684,943860.894770684,"NearNatural","NearNatural","NearNatural","B","B","B"
"59",101,59,23.647469,-33.9796447222222,"Bloukrans","2 Warm Temperate - Small Fluvially Dominated","W-SFD","bWTemp",15.33347125172,95.3237168683377,96.8237168683377,92.325,"L","L","L",18,86.2646028214276,90,90,153334.733164595,153334.733164581,153334.733164581,"Natural","Natural","Natural","A","A","A"
"60",103,60,23.7359499972222,-33.99551,"Lottering","2 Warm Temperate - Small Fluvially Dominated","W-SFD","bWTemp",11.23125475195,92.4820105913541,94.7320105913541,91.45,"L","L","L",18,86.2646028214276,85,90,112312.550731329,107582.613077089,107582.613077089,"Natural","Natural","Natural","A","A","A"
"61",104,61,23.767942,-34.0035129722222,"Elandsbos","2 Warm Temperate - Small Fluvially Dominated","W-SFD","bWTemp",22.09604512628,91.7606471132801,94.0106471132801,90.9,"L","L","L",18,86.2646028214276,85,90,220960.462371377,183386.653598356,183386.653598356,"Natural","Natural","Natural","A","A","A"
"62",107,62,23.902988,-34.020974,"Storms","2 Warm Temperate - Small Fluvially Dominated","W-SFD","bWTemp",12.379830068,91.2148438512409,93.4648438512409,90.275,"L","L","L",19,75.9608259188482,85,90,123798.313152665,119087.234928486,119087.234928486,"Natural","Natural","Natural","A","A","A"
"63",111,63,24.079086,-34.0439829722222,"Elands","2 Warm Temperate - Small Fluvially Dominated","W-SFD","bWTemp",31.0894227962,89.2040189595638,93.1790189595638,86.775,"L","L","L",19,75.9608259188482,85,90,310894.201548768,183863.671691443,183863.671691443,"NearNatural","Natural","NearNatural","B","A","B"
"64",112,64,24.1950189722222,-34.0598949722222,"Groot (Oos)","2 Warm Temperate - Small Fluvially Dominated","W-SFD","bWTemp",30.3058021108,89.994501654834,89.519501654834,78.95,"L","L","L",19,75.9608259188482,85,85,303058.037604517,248892.125160826,248892.125160826,"NearNatural","Natural","Natural","B","A","A"
"65",117,65,24.438326,-34.135593,"Tsitsikamma","2 Warm Temperate - Small Temporarily Closed","W-STC","bWTemp",67.4150283259,76.85,80,80,"H","L","L",19,75.9608259188482,75,90,674150.307330798,236116.777947562,236116.777947562,"NearNatural","NearNatural","NearNatural","B","B","B"
"66",118,66,24.637049,-34.1723669444444,"Klipdrif (Oos)","2 Warm Temperate - Small Temporarily Closed","W-STC","bWTemp",73.8952486481,69.4,76.8911764705882,55.375,"L","L","L",19,75.9608259188482,55,55,668059.3935887,0,0,"Heavily","NearNatural","Moderate","D","B","C"
"67",119,67,24.6537019722222,-34.1741288888889,"Slang","2 Warm Temperate - Small Temporarily Closed","W-STC","bWTemp",43.2035462148,62.05,61.3,51.625,"L","L","L",19,75.9608259188482,45,45,428406.650096076,0,0,"Heavily","Moderate","Moderate","D","C","C"
"68",120,68,24.842728,-34.1429669722222,"Kromme","2 Warm Temperate - Predominantly Open","W-PO","bWTemp",767.2985857828,59.875,49.4625,49,"VH","H","H",20,57.5668214195842,50,40,7554588.82354549,244320.137803091,132737.897274364,"Heavily","Heavily","Moderate","D","D","C"
"69",121,69,24.910743,-34.0866699722222,"Seekoei","2 Warm Temperate - Large Temporarily Closed","W-LTC","bWTemp",325.9360610372,42.15,42.325,42,"L","L","L",20,57.5668214195842,35,35,3224298.39893983,710613.155806638,710613.155806638,"Heavily","Heavily","Heavily","D","D","D"
"70",123,70,24.932503,-34.0088069722222,"Kabeljous","2 Warm Temperate - Large Temporarily Closed","W-LTC","bWTemp",362.5692586532,78.2666666666667,69.4990842911877,69.1,"VH","L","L",20,57.5668214195842,70,65,3118571.38274889,824469.460718223,824469.460718223,"Moderate","Moderate","NearNatural","C","C","B"
"71",124,71,25.034714,-33.9704247222222,"Gamtoos","2 Warm Temperate - Predominantly Open","W-PO","bWTemp",2134.7538038,53.925,75.130507855917,73.575,"VH","H","H",20,57.5668214195842,55,75,21333840.5636108,0,0,"Moderate","NearNatural","Heavily","C","B","D"
"72",125,72,25.2203459722222,-33.9705538888889,"Van Stadens","2 Warm Temperate - Large Temporarily Closed","W-LTC","bWTemp",101.7570519147,78.9763880409491,81.6063880409491,77.5,"L","L","L",20,57.5668214195842,85,85,1017569.04602681,150997.080942204,150997.080942204,"NearNatural","NearNatural","NearNatural","B","B","B"
